Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: sbert (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2746
  P-value: 1.5641e-18
  Number of samples: 987

Common keys (987):
  125. PubMed_10:905_alteration (AskQE: 0.3586, Standard: 0.6040)
  126. PubMed_10:905_synonym (AskQE: 1.0000, Standard: 0.6210)
  127. PubMed_10:906_alteration (AskQE: 0.6374, Standard: 0.6410)
  128. PubMed_10:906_synonym (AskQE: 0.6256, Standard: 0.6290)
  129. PubMed_10:907_alteration (AskQE: 0.5275, Standard: 0.8200)
  130. PubMed_10:907_synonym (AskQE: 1.0000, Standard: 0.8250)
  131. PubMed_10:908_alteration (AskQE: 0.5095, Standard: 0.6880)
  132. PubMed_10:908_synonym (AskQE: 0.7014, Standard: 0.7800)
  133. PubMed_10:909_alteration (AskQE: 0.5540, Standard: 0.6550)
  134. PubMed_10:909_synonym (AskQE: 0.9205, Standard: 0.7860)
  135. PubMed_10:911_alteration (AskQE: 0.9060, Standard: 0.6120)
  136. PubMed_10:911_synonym (AskQE: 0.7016, Standard: 0.6600)
  137. PubMed_10:913_alteration (AskQE: 0.9216, Standard: 0.7740)
  138. PubMed_10:913_synonym (AskQE: 0.9637, Standard: 0.7770)
  139. PubMed_10:915_alteration (AskQE: 0.6913, Standard: 0.6670)
  140. PubMed_10:915_synonym (AskQE: 0.8881, Standard: 0.6650)
  141. PubMed_10:918_alteration (AskQE: 0.7768, Standard: 0.5680)
  142. PubMed_10:918_synonym (AskQE: 0.8804, Standard: 0.6620)
  143. PubMed_10:919_alteration (AskQE: 0.8526, Standard: 0.7400)
  144. PubMed_10:919_synonym (AskQE: 0.9180, Standard: 0.7480)
  145. PubMed_10:922_alteration (AskQE: 0.7603, Standard: 0.7720)
  146. PubMed_10:922_synonym (AskQE: 0.9647, Standard: 0.7670)
  147. PubMed_10:923_alteration (AskQE: 0.0834, Standard: 0.6220)
  148. PubMed_10:923_synonym (AskQE: 1.0000, Standard: 0.7610)
  149. PubMed_10:926_alteration (AskQE: 0.2561, Standard: 0.7630)
  150. PubMed_10:926_synonym (AskQE: 0.6156, Standard: 0.8470)
  151. PubMed_10:927_alteration (AskQE: 0.6922, Standard: 0.6490)
  152. PubMed_10:927_synonym (AskQE: 1.0000, Standard: 0.7880)
  153. PubMed_10:928_alteration (AskQE: 0.2499, Standard: 0.5970)
  154. PubMed_10:928_synonym (AskQE: 1.0000, Standard: 0.6390)
  155. PubMed_10:930_alteration (AskQE: 0.8176, Standard: 0.6440)
  156. PubMed_10:930_synonym (AskQE: 0.8858, Standard: 0.7720)
  157. PubMed_10:934_alteration (AskQE: 0.5158, Standard: 0.6830)
  158. PubMed_10:934_synonym (AskQE: 0.5795, Standard: 0.7390)
  159. PubMed_10:937_alteration (AskQE: 0.6749, Standard: 0.7870)
  160. PubMed_10:937_synonym (AskQE: 0.8522, Standard: 0.7770)
  161. PubMed_10:938_alteration (AskQE: 0.8993, Standard: 0.6950)
  162. PubMed_10:938_synonym (AskQE: 0.8272, Standard: 0.7660)
  163. PubMed_10:941_alteration (AskQE: 0.9118, Standard: 0.6810)
  164. PubMed_10:941_synonym (AskQE: 0.8696, Standard: 0.6910)
  165. PubMed_10:943_alteration (AskQE: 0.3526, Standard: 0.6090)
  166. PubMed_10:943_synonym (AskQE: 0.4770, Standard: 0.6070)
  167. PubMed_10:951_alteration (AskQE: 0.9161, Standard: 0.7040)
  168. PubMed_10:951_synonym (AskQE: 0.9432, Standard: 0.7460)
  169. PubMed_10:954_alteration (AskQE: 0.8267, Standard: 0.6960)
  170. PubMed_10:954_synonym (AskQE: 0.5753, Standard: 0.7770)
  171. PubMed_10:955_alteration (AskQE: 0.6263, Standard: 0.6400)
  172. PubMed_10:955_synonym (AskQE: 0.6462, Standard: 0.6470)
  173. PubMed_10:958_alteration (AskQE: 0.7271, Standard: 0.6850)
  174. PubMed_10:958_synonym (AskQE: 0.7206, Standard: 0.6990)
  175. PubMed_10:961_alteration (AskQE: 0.9874, Standard: 0.6430)
  176. PubMed_10:961_synonym (AskQE: 0.9971, Standard: 0.6410)
  177. PubMed_10:963_alteration (AskQE: 0.8833, Standard: 0.6930)
  178. PubMed_10:963_synonym (AskQE: 0.8181, Standard: 0.6990)
  179. PubMed_10:964_alteration (AskQE: 0.4414, Standard: 0.7480)
  180. PubMed_10:964_synonym (AskQE: 0.4116, Standard: 0.7400)
  181. PubMed_10:965_alteration (AskQE: 0.7760, Standard: 0.7300)
  182. PubMed_10:965_synonym (AskQE: 0.7717, Standard: 0.7590)
  183. PubMed_10:967_alteration (AskQE: 0.7923, Standard: 0.7290)
  184. PubMed_10:967_synonym (AskQE: 0.8333, Standard: 0.7220)
  185. PubMed_10:968_alteration (AskQE: 0.9910, Standard: 0.6790)
  186. PubMed_10:968_synonym (AskQE: 0.5535, Standard: 0.7050)
  187. PubMed_10:971_alteration (AskQE: 0.7257, Standard: 0.6610)
  188. PubMed_10:971_synonym (AskQE: 0.8054, Standard: 0.6230)
  189. PubMed_10:974_alteration (AskQE: 0.8636, Standard: 0.5850)
  190. PubMed_10:974_synonym (AskQE: 0.7414, Standard: 0.6130)
  191. PubMed_10:979_alteration (AskQE: 0.7477, Standard: 0.6740)
  192. PubMed_10:979_synonym (AskQE: 0.9020, Standard: 0.6990)
  193. PubMed_10:980_alteration (AskQE: 0.7263, Standard: 0.6610)
  194. PubMed_10:980_synonym (AskQE: 0.9406, Standard: 0.7000)
  195. PubMed_10:984_alteration (AskQE: 0.8617, Standard: 0.7380)
  196. PubMed_10:984_synonym (AskQE: 0.6414, Standard: 0.7140)
  197. PubMed_10:985_alteration (AskQE: 0.8103, Standard: 0.6960)
  198. PubMed_10:985_synonym (AskQE: 0.7630, Standard: 0.7550)
  199. PubMed_10:986_alteration (AskQE: 0.1095, Standard: 0.8090)
  200. PubMed_10:986_synonym (AskQE: 0.9347, Standard: 0.8010)
  201. PubMed_10:987_alteration (AskQE: 0.6772, Standard: 0.5790)
  202. PubMed_10:987_synonym (AskQE: 0.4618, Standard: 0.5340)
  203. PubMed_10:988_alteration (AskQE: 0.8701, Standard: 0.7650)
  204. PubMed_10:988_synonym (AskQE: 0.9935, Standard: 0.8420)
  205. PubMed_10:992_alteration (AskQE: 0.8758, Standard: 0.7070)
  206. PubMed_10:992_synonym (AskQE: 0.9635, Standard: 0.7440)
  207. PubMed_10:994_alteration (AskQE: 0.7428, Standard: 0.6900)
  208. PubMed_10:994_synonym (AskQE: 0.9540, Standard: 0.7050)
  209. PubMed_10:995_alteration (AskQE: 0.8056, Standard: 0.6980)
  210. PubMed_10:995_synonym (AskQE: 0.9205, Standard: 0.7010)
  211. PubMed_10:996_alteration (AskQE: 0.7641, Standard: 0.7510)
  212. PubMed_10:996_synonym (AskQE: 0.8033, Standard: 0.7960)
  213. PubMed_10:999_alteration (AskQE: 0.5807, Standard: 0.6720)
  214. PubMed_10:999_synonym (AskQE: 0.5248, Standard: 0.7710)
  215. PubMed_9:792_alteration (AskQE: 0.7957, Standard: 0.7980)
