Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: bleu (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.3728
  P-value: 6.6055e-34
  Number of samples: 987

Common keys (987):
  315. Wikipedia_handpicked_5:1867_alteration (AskQE: 10.0501, Standard: 0.8800)
  316. Wikipedia_handpicked_5:1867_synonym (AskQE: 20.7302, Standard: 0.9443)
  317. Wikipedia_handpicked_5:1869_alteration (AskQE: 33.4001, Standard: 0.8674)
  318. Wikipedia_handpicked_5:1869_synonym (AskQE: 53.9043, Standard: 0.8985)
  319. Wikipedia_handpicked_5:1870_alteration (AskQE: 16.1176, Standard: 0.9200)
  320. Wikipedia_handpicked_5:1870_synonym (AskQE: 41.1176, Standard: 0.9654)
  321. Wikipedia_handpicked_5:1871_alteration (AskQE: 22.0092, Standard: 0.8641)
  322. Wikipedia_handpicked_5:1871_synonym (AskQE: 26.6243, Standard: 0.9519)
  323. Wikipedia_handpicked_5:1873_alteration (AskQE: 18.0227, Standard: 0.9342)
  324. Wikipedia_handpicked_5:1873_synonym (AskQE: 52.6380, Standard: 0.9677)
  325. Wikipedia_handpicked_5:1874_alteration (AskQE: 23.1123, Standard: 0.9053)
  326. Wikipedia_handpicked_5:1874_synonym (AskQE: 29.0788, Standard: 0.9202)
  327. Wikipedia_handpicked_5:1875_alteration (AskQE: 19.5771, Standard: 0.8961)
  328. Wikipedia_handpicked_5:1875_synonym (AskQE: 16.1785, Standard: 0.8654)
  329. Wikipedia_handpicked_5:1877_alteration (AskQE: 5.8161, Standard: 0.8719)
  330. Wikipedia_handpicked_5:1877_synonym (AskQE: 68.7599, Standard: 0.9012)
  331. Wikipedia_handpicked_5:1879_alteration (AskQE: 26.3806, Standard: 0.9283)
  332. Wikipedia_handpicked_5:1879_synonym (AskQE: 100.0000, Standard: 1.0000)
  333. Wikipedia_handpicked_5:1880_alteration (AskQE: 47.5751, Standard: 0.9265)
  334. Wikipedia_handpicked_5:1880_synonym (AskQE: 89.7785, Standard: 0.9636)
  335. Wikipedia_handpicked_5:1881_alteration (AskQE: 32.7508, Standard: 0.8803)
  336. Wikipedia_handpicked_5:1881_synonym (AskQE: 48.4520, Standard: 0.9316)
  337. Wikipedia_handpicked_5:1883_alteration (AskQE: 56.4714, Standard: 0.9015)
  338. Wikipedia_handpicked_5:1883_synonym (AskQE: 56.9500, Standard: 0.9365)
  339. Wikipedia_handpicked_5:1886_alteration (AskQE: 37.6798, Standard: 0.9448)
  340. Wikipedia_handpicked_5:1886_synonym (AskQE: 57.6168, Standard: 0.9722)
  341. Wikipedia_handpicked_5:1887_alteration (AskQE: 18.2493, Standard: 0.8852)
  342. Wikipedia_handpicked_5:1887_synonym (AskQE: 46.8747, Standard: 0.9410)
  343. Wikipedia_handpicked_5:1889_alteration (AskQE: 0.0000, Standard: 0.9100)
  344. Wikipedia_handpicked_5:1889_synonym (AskQE: 53.3547, Standard: 0.9681)
